id,predicted_answer
56be4db0acb8001400a502ec,Denver Broncos
56be4db0acb8001400a502ed,Denver Broncos
56be4db0acb8001400a502ee,"February 7, 2016, at Levi's Stadium"
56be4db0acb8001400a502ef,Denver Broncos
56be4db0acb8001400a502f0,golden anniversary
56be8e613aeaaa14008c90d1,Arabic numerals 50
56be8e613aeaaa14008c90d2,"February 7, 2016"
56be8e613aeaaa14008c90d3,Denver Broncos
56bea9923aeaaa14008c91b9,Arabic numerals 50
56bea9923aeaaa14008c91ba,Arabic numerals 50
56bea9923aeaaa14008c91bb,"February 7, 2016"
56beace93aeaaa14008c91df,Denver Broncos
56beace93aeaaa14008c91e0,Levi's Stadium
56beace93aeaaa14008c91e1,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California"
56beace93aeaaa14008c91e2,"Super Bowl L"""
56beace93aeaaa14008c91e3,2015
56bf10f43aeaaa14008c94fd,Carolina Panthers 24–10
56bf10f43aeaaa14008c94fe,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California"
56bf10f43aeaaa14008c94ff,Levi's Stadium
56bf10f43aeaaa14008c9500,"February 7, 2016"
56bf10f43aeaaa14008c9501,"February 7, 2016"
56d20362e7d4791d009025e8,2015
56d20362e7d4791d009025e9,Denver Broncos
56d20362e7d4791d009025ea,Denver Broncos
56d20362e7d4791d009025eb,Denver Broncos
56d600e31c85041400946eae,2015
56d600e31c85041400946eb0,Denver Broncos
56d600e31c85041400946eb1,Levi's Stadium
56d9895ddc89441400fdb50e,Super Bowl L
56d9895ddc89441400fdb510,American Football Conference (AFC) champion Denver Broncos
56be4e1facb8001400a502f6,Cam Newton
56be4e1facb8001400a502f9,eight
56be4e1facb8001400a502fa,1995
56beaa4a3aeaaa14008c91c2,Arizona Cardinals
56beaa4a3aeaaa14008c91c3,New England Patriots
56bead5a3aeaaa14008c91e9,Arizona Cardinals 49–15
56bead5a3aeaaa14008c91ea,20–18
56bead5a3aeaaa14008c91eb,Cam Newton
56bead5a3aeaaa14008c91ec,"Dallas Cowboys, and Pittsburgh Steelers"
56bead5a3aeaaa14008c91ed,Cam Newton
56bf159b3aeaaa14008c9507,12–4
56bf159b3aeaaa14008c9508,Cam Newton
56bf159b3aeaaa14008c9509,12–4 record
56bf159b3aeaaa14008c950a,"Dallas Cowboys, and Pittsburgh Steelers"
56bf159b3aeaaa14008c950b,New England Patriots
56d2045de7d4791d009025f3,Cam Newton
56d2045de7d4791d009025f4,Arizona Cardinals 49–15
56d2045de7d4791d009025f5,1995
56d2045de7d4791d009025f6,20–18
56d6017d1c85041400946ebe,Cam Newton
56d6017d1c85041400946ec1,20–18
56d6017d1c85041400946ec2,Arizona Cardinals 49–15
56d98a59dc89441400fdb52a,Cam Newton
56d98a59dc89441400fdb52b,Arizona Cardinals
56d98a59dc89441400fdb52e,1995
56be4eafacb8001400a50302,Von Miller
56be4eafacb8001400a50303,two
56be4eafacb8001400a50304,Super Bowl 50
56beab833aeaaa14008c91d2,Von Miller
56beab833aeaaa14008c91d3,five
56beab833aeaaa14008c91d4,Newton
56beae423aeaaa14008c91f4,seven
56beae423aeaaa14008c91f5,Von Miller
56beae423aeaaa14008c91f6,three
56beae423aeaaa14008c91f7,two
56bf17653aeaaa14008c9511,Von Miller
56bf17653aeaaa14008c9513,Denver linebacker
56bf17653aeaaa14008c9514,five
56bf17653aeaaa14008c9515,two
56d204ade7d4791d00902603,Von Miller
56d204ade7d4791d00902604,five
56d601e41c85041400946ece,seven
56d601e41c85041400946ecf,seven
56d601e41c85041400946ed0,three
56d601e41c85041400946ed1,Von Miller
56d601e41c85041400946ed2,Denver linebacker
56d98b33dc89441400fdb53b,seven
56d98b33dc89441400fdb53c,three
56d98b33dc89441400fdb53d,Von Miller
56d98b33dc89441400fdb53e,five
56be5333acb8001400a5030a,CBS
56be5333acb8001400a5030b,$5 million
56be5333acb8001400a5030c,Coldplay
56be5333acb8001400a5030d,Beyoncé and Bruno Mars
56be5333acb8001400a5030e,Bruno Mars
56beaf5e3aeaaa14008c91fd,CBS
56beaf5e3aeaaa14008c91fe,$5 million
56beaf5e3aeaaa14008c91ff,Beyoncé and Bruno Mars
56beaf5e3aeaaa14008c9200,Beyoncé and Bruno Mars
56beaf5e3aeaaa14008c9201,Beyoncé and Bruno Mars
56bf1ae93aeaaa14008c951b,CBS
56bf1ae93aeaaa14008c951c,$5 million
56bf1ae93aeaaa14008c951e,Beyoncé and Bruno Mars
56bf1ae93aeaaa14008c951f,third
56d2051ce7d4791d00902608,CBS
56d2051ce7d4791d00902609,$5 million
56d2051ce7d4791d0090260a,Beyoncé and Bruno Mars
56d2051ce7d4791d0090260b,Beyoncé and Bruno Mars
56d602631c85041400946ed8,Beyoncé and Bruno Mars
56d602631c85041400946eda,Beyoncé and Bruno Mars
56d602631c85041400946edb,Beyoncé and Bruno Mars
56d602631c85041400946edc,Bruno Mars
56d98c53dc89441400fdb544,$5 million
56d98c53dc89441400fdb545,Beyoncé and Bruno Mars
56d98c53dc89441400fdb546,Beyoncé and Bruno Mars
56d98c53dc89441400fdb548,Beyoncé and Bruno Mars
56be53b8acb8001400a50314,Roger Goodell
56be53b8acb8001400a50315,"50th Super Bowl ""spectacular"
56be53b8acb8001400a50316,2012
56beafca3aeaaa14008c9207,Roger Goodell
56beafca3aeaaa14008c9208,Roger Goodell
56bf42f53aeaaa14008c95a3,Roger Goodell
56d2053ae7d4791d00902610,Roger Goodell
56d6edd00d65d21400198250,Roger Goodell
56d6edd00d65d21400198251,spectacular
56d98d0adc89441400fdb54e,Roger Goodell
56d98d0adc89441400fdb54f,NFL Commissioner Roger Goodell stated that the league planned to make the 50th
56be5438acb8001400a5031a,"New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium"
56be5438acb8001400a5031b,"New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium"
56be5438acb8001400a5031c,"New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium"
56beb03c3aeaaa14008c920b,"New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium"
56beb03c3aeaaa14008c920d,Levi's Stadium
56bf3c633aeaaa14008c9580,Levi's Stadium
56bf3c633aeaaa14008c9581,Mercedes-Benz Superdome
56bf3c633aeaaa14008c9582,Sun Life Stadium
56d20564e7d4791d00902612,"New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium"
56d6ee6e0d65d21400198254,three
56d6ee6e0d65d21400198255,New Orleans' Mercedes-Benz Superdome
56d6ee6e0d65d21400198256,Sun Life Stadium
56d6ee6e0d65d21400198257,New Orleans' Mercedes-Benz Superdome
56d6ee6e0d65d21400198258,Levi's Stadium
56d98db6dc89441400fdb552,Sun Life Stadium
56d98db6dc89441400fdb553,"Mercedes-Benz Superdome, Miami's Sun Life Stadium"
56d98db6dc89441400fdb554,Levi's Stadium
56be54bdacb8001400a50322,Sun Life Stadium and Levi's Stadium
56be54bdacb8001400a50323,10
56be54bdacb8001400a50324,Super Bowl XLIV
56be54bdacb8001400a50325,2010
56be54bdacb8001400a50326,1985
56beb0f43aeaaa14008c921b,Sun Life Stadium
56beb0f43aeaaa14008c921c,Sun Life Stadium and Levi's Stadium
56beb0f43aeaaa14008c921d,Stanford Stadium
56beb0f43aeaaa14008c921e,"May 3, 2013"
56beb0f43aeaaa14008c921f,1985
56bf21b43aeaaa14008c9525,10
56bf21b43aeaaa14008c9526,Stanford Stadium
56bf21b43aeaaa14008c9528,Sun Life Stadium and Levi's Stadium
56bf21b43aeaaa14008c9529,Levi's Stadium
56d6ef6a0d65d21400198260,1985
56d6ef6a0d65d21400198262,South Florida/Miami area
56d98f0ddc89441400fdb558,Sun Life Stadium and Levi's Stadium
56d98f0ddc89441400fdb559,10
56d98f0ddc89441400fdb55a,New Orleans
56d98f0ddc89441400fdb55b,1985
56d98f0ddc89441400fdb55c,the Florida legislature
56be5523acb8001400a5032c,"May 21, 2013"
56be5523acb8001400a5032d,Levi's Stadium
56be5523acb8001400a5032e,2014
56be5523acb8001400a5032f,$1.2 billion
56be5523acb8001400a50330,Super Bowl XIX
56beb2153aeaaa14008c9225,Boston
56beb2153aeaaa14008c9226,"May 21, 2013"
56beb2153aeaaa14008c9227,$1.2 billion
